sample_start,sample_end,record_number,unique_storm_id,runoff_volume,percent_runoff_sampled,number_of_samples,comments,discrete,estimated,exclude,frozen,unique_storm_number,storm_start,storm_end,storm_type,storm_precipitation_inches,storm_erosivity_index,peak_discharge,storm_runoff_cubic_feet,storm_runoff_inches,suspended_sediment_80154_mg_l,flag_suspended_sediment,suspended_sediment_load_pounds,suspended_sediment_yield_pounds_per_acre,chloride_00940_mg_l,flag_chloride,chloride_load_pounds,chloride_yield_pounds_per_acre,no2_no3n_00631_mg_l,flag_no2_no3n,no2_no3n_load_pounds,no2_no3n_yield_pounds_per_acre,ammonium_n_00608_mg_l,flag_ammonium_n,ammonium_n_load_pounds,ammonium_n_yield_pounds_per_acre,tkn_unfiltered_00625_mg_l,flag_tkn_unfiltered,tkn_unfiltered_load_pounds,tkn_unfiltered_yield_pounds_per_acre,orthophosphate_00671_mg_l,flag_orthophosphate,orthophosphate_load_pounds,orthophosphate_yield_pounds_per_acre,tp_unfiltered_00665_mg_l,flag_tp_unfiltered,tp_unfiltered_load_pounds,tp_unfiltered_yield_pounds_per_acre,total_nitrogen_computed_mg_l,total_nitrogen_load_in_pounds,total_nitrogen_yield_pounds_per_acre,organic_nitrogen_computed_mg_l,organic_nitrogen_load_pounds,organic_nitrogen_yield_pounds_per_acre
04/06/13 10:15,04/07/13 06:00,142-13-1,ESW2-4e,2618,,4,,0,0,0,1,11,4/6/2013 10:15,4/7/2013 6:00,,,,0.0781,2618,0.027,65,HT,10.6,0.4,83.3,,13.6,0.5,1.8,,0.29,0.01,6.21,,1.01,0.04,10.7,,1.75,0.06,1.69,,0.28,0.01,2.02,,0.33,0.01,12.5,2.04,0.08,4.5,0.73,0.03
,,,,,,,,0,1,0,1,12,4/7/2013 6:00,4/8/2013 9:26,,,,0.0242,1572,0.016,65,,6.4,0.2,83.3,,8.2,0.3,1.8,,0.18,0.01,6.21,,0.61,0.02,10.7,,1.05,0.04,1.69,,0.17,0.01,2.02,,0.20,0.01,12.5,1.23,0.05,4.5,0.44,0.02
04/08/13 09:26,04/09/13 09:38,142-13-2,ESW2-5a,6566,,5,,0,0,0,1,13,4/8/2013 9:26,4/9/2013 9:38,,,,0.2816,6566,0.067,270,HT,110.7,4.1,107.0,,43.9,1.6,5.6,,2.30,0.08,6.37,,2.61,0.10,12.2,,5.00,0.18,1.60,,0.66,0.02,2.2,,0.90,0.03,17.8,7.30,0.27,5.8,2.39,0.09
04/09/13 09:38,04/09/13 22:22,142-13-3,ESW2-5b,34560,,11,,0,0,0,1,14,4/9/2013 9:38,4/9/2013 22:22,,,,4.241,34560,0.351,1821,HT,3928.8,145.0,76.9,,165.9,6.1,11.1,,23.95,0.88,3.82,,8.24,0.30,16.3,,35.17,1.30,1.32,,2.85,0.11,4.26,,9.19,0.34,27.4,59.12,2.18,12.5,26.93,0.99
04/09/13 22:22,04/11/13 03:30,142-13-4,ESW2-5c,125824,,10,,0,0,0,1,15,4/9/2013 22:22,4/11/2013 3:30,,,,7.68,125824,1.279,604,HT,4744.4,175.1,55.2,,433.6,16.0,11.4,,89.55,3.30,2.58,,20.27,0.75,8.2,,64.41,2.38,1.12,,8.80,0.32,2.15,,16.89,0.62,19.6,153.96,5.68,5.6,44.15,1.63
04/11/13 03:30,04/12/13 09:11,142-13-5,ESW2-5d,42664,,3,,0,0,0,1,16,4/11/2013 3:30,4/12/2013 9:11,,,,1.1259,42664,0.434,2087,HT,5558.6,205.1,73.8,,196.6,7.3,12.1,,32.23,1.19,3.81,,10.15,0.37,9.9,,26.37,0.97,1.18,,3.14,0.12,2.57,,6.85,0.25,22.0,58.60,2.16,6.1,16.22,0.60
04/12/13 09:30,,142-13-8,ESW2-13grab,,,,,1,0,0,1,17,4/12/2013 9:11,4/14/2013 10:15,,,,0.5757,25341,0.258,187,HT,295.8,10.9,62.9,,99.5,3.7,11.4,,18.03,0.67,1.83,,2.90,0.11,5.4,,8.54,0.32,0.81,,1.28,0.05,1.12,,1.77,0.07,16.8,26.58,0.98,3.6,5.65,0.21
04/14/13 10:15,04/16/13 15:00,147-13-10,ESW2-5e,32797,,8,,0,0,0,1,18,4/14/2013 10:15,4/16/2013 15:15,,,,2.0008,32797,0.333,13005,HT,26627.6,982.6,74.6,,152.7,5.6,9.2,,18.84,0.70,3.96,,8.11,0.30,12.8,,26.21,0.97,1.05,,2.15,0.08,4.25,,8.70,0.32,22.0,45.04,1.66,8.8,18.10,0.67
04/17/13 13:45,04/20/13 02:01,147-13-4,ESW2-6,19380,,11,,0,0,0,0,19,4/17/2013 13:30,4/20/2013 2:02,,,,0.345,19380,0.197,145,HT,175.4,6.5,86.8,,105.0,3.9,6.9,,8.35,0.31,4.27,,5.17,0.19,8.6,,10.40,0.38,1.27,,1.54,0.06,1.66,,2.01,0.07,15.5,18.75,0.69,4.3,5.24,0.19
,,,,,,,,0,1,0,0,20,4/29/2013 8:44,4/29/2013 15:15,,,,0.0102,156,0.002,145,,1.4,0.1,86.8,,0.8,0.0,6.9,,0.07,0.00,4.27,,0.04,0.00,8.6,,0.08,0.00,1.27,,0.01,0.00,1.66,,0.02,0.00,15.5,0.15,0.01,4.3,0.04,0.00
,,,,,,,,0,1,0,0,21,4/30/2013 4:45,4/30/2013 9:00,,,,0.0134,138,0.001,145,,1.3,0.0,86.8,,0.7,0.0,6.9,,0.06,0.00,4.27,,0.04,0.00,8.6,,0.07,0.00,1.27,,0.01,0.00,1.66,,0.01,0.00,15.5,0.13,0.00,4.3,0.04,0.00
05/02/13 15:01,05/07/13 06:30,215-13-6,ESW2-7,29367,,31,,0,0,0,0,22,5/2/2013 14:55,5/7/2013 7:15,,,,0.8633,29376,0.299,3961,HT,7264.0,268.0,67,,122.0,4.5,16.5,,30.26,1.12,0.91,,1.67,0.06,5.79,HT,10.62,0.39,0.62,,1.14,0.04,1.88,HT,3.45,0.13,22.3,40.88,1.51,4.9,8.95,0.33
,,,,,,,,0,1,0,0,23,05/10/13 00:16,05/10/13 14:15,,,,0.18,2635,0.027,3961,,651.6,24.0,66.5,,10.9,0.4,16.5,,2.71,0.10,0.91,,0.15,0.01,5.79,,0.95,0.04,0.621,,0.10,0.00,1.88,,0.31,0.01,22.3,3.67,0.14,4.9,0.80,0.03
06/15/13 21:37,06/16/13 15:45,316-13-4,ESW2-8,4035,,7,,0,0,0,0,24,06/15/13 21:36,06/16/13 16:00,,,,1.02,4035,0.041,2705,HT,681.4,25.1,145,,36.5,1.3,19.9,,5.01,0.18,0.24,,0.06,0.00,9.8,,2.47,0.09,0.45,,0.11,0.00,3.81,,0.96,0.04,29.7,7.48,0.28,9.6,2.41,0.09
,,,,,,,,0,1,0,0,25,06/17/13 15:20,06/18/13 01:30,,,,0.36,1521,0.015,3364,,319.3,11.8,51.5,,4.9,0.2,5.7,,0.54,0.02,0.17,,0.02,0.00,11.7,,1.11,0.04,0.346,,0.03,0.00,4.46,,0.42,0.02,17.4,1.65,0.06,11.5,1.09,0.04
06/21/13 08:59,06/21/13 16:00,334-13-1,ESW2-9,4441,,7,,0,0,0,0,26,06/21/13 08:58,06/21/13 16:15,,,,0.98,4441,0.045,3364,HT,932.6,34.4,52,,14.3,0.5,5.7,,1.58,0.06,0.17,,0.05,0.00,11.7,,3.24,0.12,0.35,,0.10,0.00,4.46,,1.24,0.05,17.4,4.82,0.18,11.5,3.20,0.12
06/22/13 23:15,06/23/13 08:07,334-13-2,ESW2-10,14040,,8,,0,0,0,0,27,06/22/13 23:09,06/23/13 08:08,,,,5.21,14040,0.143,3911,HT,3428.0,126.5,35,,31.0,1.1,4.6,,4.03,0.15,0.1,,0.09,0.00,13.5,,11.83,0.44,0.44,,0.39,0.01,4.93,,4.32,0.16,18.1,15.86,0.59,13.4,11.74,0.43
07/08/13 05:43,07/08/13 13:33,376-13-13,ESW2-11,79237,,18,,0,0,0,0,28,07/08/13 05:42,07/08/13 13:33,,,,21.84,79237,0.805,4760,HT,23546.1,868.9,29,,143.0,5.3,4.4,,21.77,0.80,0.25,,1.24,0.05,12.1,,59.85,2.21,0.48,,2.39,0.09,4.68,,23.15,0.85,16.5,81.62,3.01,11.9,58.62,2.16
07/09/13 12:45,07/09/13 15:41,376-13-14,ESW2-12,2661,,4,,0,0,0,0,29,07/09/13 12:44,07/09/13 15:41,,,,0.86,2661,0.027,4583,HT,761.4,28.1,39,,6.4,0.2,3.5,,0.58,0.02,0.15,,0.02,0.00,13,,2.16,0.08,0.39,,0.06,0.00,4.76,,0.79,0.03,16.5,2.74,0.10,12.9,2.13,0.08
,,,,,,,,0,1,0,0,30,08/21/13 20:23,08/22/13 01:00,,,,0.02,233,0.002,4583,,66.7,2.5,38.7,,0.6,0.0,3.5,,0.05,0.00,0.15,,0.00,0.00,13,,0.19,0.01,0.385,,0.01,0.00,4.76,,0.07,0.00,16.5,0.24,0.01,12.9,0.19,0.01
,,,,,,,,0,1,0,0,31,10/05/13 13:10,10/05/13 13:45,,,,0.06,43,0.000,117,,0.3,0.0,54.6,,0.14725074,0.0,2.8,,0.00755132,0.0,0.09,,0.00,0.00,2.19,,0.005906211,0.0,0.52,,0.0013916,0.0,0.73,,0.001957949,0.0,5.0,0.01,0.00,2.1,0.01,0.00
,,,,,,,,0,1,0,0,32,10/05/13 15:26,10/05/13 16:15,,,,0.08,52,0.001,117,,0.4,0.0,54.6,,0.176700888,0.0,2.8,,0.009061584,0.0,0.09,,0.00,0.00,2.19,,0.007087453,0.0,0.52,,0.00166992,0.0,0.73,,0.002349539,0.0,5.0,0.02,0.00,2.1,0.01,0.00
,,,,,,,,0,1,0,0,33,10/05/13 16:34,10/05/13 17:00,,,,0.03,26,0.000,117,,0.2,0.0,54.6,,0.088350444,0.0,2.8,,0.004530792,0.0,0.09,,0.00,0.00,2.19,,0.003543727,0.0,0.52,,0.00083496,0.0,0.73,,0.00117477,0.0,5.0,0.01,0.00,2.1,0.00,0.00
,,,,,,,,0,1,0,0,34,10/05/13 18:00,10/05/13 18:46,,,,0.09,78,0.001,117,,0.6,0.0,54.6,,0.265051332,0.0,2.8,,0.013592376,0.0,0.09,,0.00,0.00,2.19,,0.01063118,0.0,0.52,,0.002504881,0.0,0.73,,0.003524309,0.0,5.0,0.02,0.00,2.1,0.01,0.00
10/31/13 22:30,11/01/13 13:00,654-13-14,ESW2-13,1685,99%,13,,0,0,0,0,35,10/31/2013 22:15,11/1/2013 13:15,,,,0.1167,1693,0.017,117,HT,12.4,0.5,54.6,,5.772229008,0.2,2.8,,0.296011744,0.0,0.09,,0.01,0.00,2.19,,0.231523471,0.0,0.52,,0.054550736,0.0,0.73,,0.076751616,0.0,5.0,0.53,0.02,2.1,0.22,0.01
11/05/13 16:15,11/07/13 02:45,654-13-15,ESW2-14,6756,,19,,0,0,0,0,36,11/5/2013 16:13,11/7/2013 3:00,,,,0.1859,6765,0.069,142,HT,60.0,2.2,44.6,,18.83612048,0.7,5.0,,2.1116727,0.1,0.04,,0.02,0.00,2.91,,1.228993511,0.0,0.56,,0.236085008,0.0,0.90,,0.378411748,0.0,7.9,3.34,0.12,2.9,1.21,0.04
,,,,,,,,0,1,0,0,37,11/9/2013 0:32,11/9/2013 16:15,,,,0.049,1097,0.011,462,,31.6,1.2,58.6,,4.014173836,0.1,1.0,,0.06850126,0.0,0.09,,0.01,0.00,2.99,,0.204818767,0.0,0.31,,0.021166889,0.0,1.06,,0.072611336,0.0,4.0,0.27,0.01,2.9,0.20,0.01
11/16/13 17:45,11/17/13 07:45,669-13-2,ESW2-15a,1115,100%,2,,0,0,0,0,38,11/16/2013 17:30,11/17/2013 7:45,,,,0.0638,1115,0.011,462,HT,32.1,1.2,58.6,,4.077389172,0.2,1.0,,0.06958002,0.0,0.09,,0.01,0.00,2.99,,0.20804426,0.0,0.31,,0.021500226,0.0,1.06,,0.073754821,0.0,4.0,0.28,0.01,2.9,0.20,0.01
11/17/13 08:00,11/18/13 18:30,669-13-3,ESW2-15b,8839,100%,9,,0,0,0,0,39,11/17/13 07:45,11/18/13 18:45,,,,0.25,8856,0.090,318,HT,175.8,6.5,41.1,,22.72273095,0.8,5.6,,3.0960412,0.1,0.32,,0.18,0.01,4.28,,2.36626006,0.1,0.53,,0.293018185,0.0,1.20,,0.6634374,0.0,9.9,5.46,0.20,4.0,2.19,0.08
03/10/14 18:00,03/14/14 09:45,71-14-3,ESW2-16a,20140,100%,15,,0,0,0,1,40,03/10/14 17:45,03/14/14 09:45,,,,0.11,20140,0.205,5,HT,6.3,0.2,4.5,,5.65782651,0.2,1.9,,2.388860082,0.1,1.16,,1.46,0.05,2.18,,2.74090262,0.1,0.44,,0.554466998,0.0,0.53,,0.666366233,0.0,4.1,5.13,0.19,1.0,1.28,0.05
03/14/14 09:45,03/15/14 14:41,71-14-4,ESW2-16b,38180,,6,,0,0,0,1,41,03/14/14 09:45,03/15/14 14:41,,,,2.79,38180,0.388,62,HT,147.8,5.5,3.2,,7.627264704,0.3,1.6,,3.813632352,0.1,0.73,,1.74,0.06,2.74,,6.530845403,0.2,0.31,,0.736507748,0.0,0.54,,1.294251479,0.0,4.3,10.34,0.38,2.0,4.79,0.18
03/15/14 14:41,03/16/14 00:39,71-14-5,ESW2-16c,11949,100%,2,,0,0,0,1,42,03/15/14 14:41,03/16/14 00:39,,,,0.71,11949,0.121,71,HT,53.0,2.0,3.3,,2.461676382,0.1,1.7,,1.268136318,0.0,0.87,,0.65,0.02,3.75,,2.797359525,0.1,0.38,,0.283465765,0.0,0.70,,0.522919741,0.0,5.5,4.07,0.15,2.9,2.15,0.08
03/16/14 02:40,,71-14-6,ESW2-33,,0%,1,,1,0,0,1,43,03/16/14 00:39,03/17/14 10:30,,,,0.16,10437,0.106,116,HT,75.6,2.8,2.9,,1.889556016,0.1,1.9,,1.237984976,0.0,0.59,,0.38,0.01,2.36,,1.537707654,0.1,0.41,,0.265840984,0.0,0.59,,0.383775343,0.0,4.3,2.78,0.10,1.8,1.15,0.04
03/18/14 15:00,03/21/14 08:15,81-14-6,ESW2-17,22792,100%,19,,0,0,0,1,44,03/18/14 14:45,03/21/14 08:30,,,,0.44,22792,0.232,235,HT,334.4,12.3,3.3,,4.695518652,0.2,1.6,,2.276615104,0.1,0.93,,1.32,0.05,3.18,,4.524772519,0.2,0.40,,0.573422429,0.0,0.77,,1.094198134,0.0,4.8,6.80,0.25,2.3,3.20,0.12
,,,,,0%,,,0,1,0,1,45,03/21/14 12:15,03/22/14 06:30,,,,0.44,7603,0.077,235,,111.5,4.1,3.3,,1.56635952,0.1,1.6,,0.75944704,0.0,0.93,,0.44,0.02,3.18,,1.509400992,0.1,0.40,,0.191285723,0.0,0.77,,0.365009234,0.0,4.8,2.27,0.08,2.3,1.07,0.04
,,,,,,,,0,1,0,1,46,03/22/14 13:15,03/23/14 07:45,,,,0.19,3724,0.038,235,,54.6,2.0,3.3,,0.767160174,0.0,1.6,,0.371956448,0.0,0.93,,0.22,0.01,3.18,,0.73926344,0.0,0.40,,0.09368653,0.0,0.77,,0.178771568,0.0,4.8,1.11,0.04,2.3,0.52,0.02
03/27/14 14:45,03/28/14 08:00,81-14-7,ESW2-19a,22870,100%,11,,0,0,0,1,47,03/27/14 14:30,03/28/14 08:00,,,,1.85,22870,0.232,1519,HT,2168.7,80.0,6.1,,8.709207046,0.3,3.7,,5.282633782,0.2,0.81,,1.16,0.04,8.40,,11.99300642,0.4,0.38,,0.545396245,0.0,2.78,,3.969114031,0.1,12.1,17.28,0.64,7.6,10.84,0.40
03/28/14 08:00,03/28/14 22:15,81-14-8,ESW2-19b,7033,,5,,0,0,0,1,48,03/28/14 08:00,03/28/14 22:30,,,,0.42,7033,0.071,603,HT,264.8,9.8,7.3,,3.205103836,0.1,4.6,,2.019654472,0.1,0.73,,0.32,0.01,5.00,,2.1952766,0.1,0.46,,0.199770171,0.0,1.44,,0.632239661,0.0,9.6,4.21,0.16,4.3,1.87,0.07
,,,,,,,,0,1,0,1,49,03/29/14 11:00,03/29/14 22:00,,,,0.13,2246,0.023,603,,84.6,3.1,7.3,,1.02374324,0.0,4.6,,0.64509848,0.0,0.73,,0.10,0.00,5.00,,0.701194,0.0,0.46,,0.063808654,0.0,1.44,,0.201943872,0.0,9.6,1.35,0.05,4.3,0.60,0.02
,,,,,,,,0,1,0,1,50,03/30/14 12:30,03/31/14 00:45,,,,0.03,536,0.005,603,,20.2,0.7,7.3,,0.244123388,0.0,4.6,,0.153831176,0.0,0.73,,0.02,0.00,5.00,,0.1672078,0.0,0.46,,0.01521591,0.0,1.44,,0.048155846,0.0,9.6,0.32,0.01,4.3,0.14,0.01
,,,,,,,,0,1,0,1,51,04/02/14 08:15,04/02/14 11:30,,,,0.13,562,0.006,603,,21.1,0.8,7.3,,0.25593581,0.0,4.6,,0.16127462,0.0,0.73,,0.03,0.00,5.00,,0.1752985,0.0,0.46,,0.015952164,0.0,1.44,,0.050485968,0.0,9.6,0.34,0.01,4.3,0.15,0.01
,,,,,,,,0,1,0,1,52,04/04/14 14:15,04/04/14 20:15,,,,0.04,302,0.003,603,,11.4,0.4,7.3,,0.13781159,0.0,4.6,,0.08684018,0.0,0.73,,0.01,0.00,5.00,,0.0943915,0.0,0.46,,0.008589627,0.0,1.44,,0.027184752,0.0,9.6,0.18,0.01,4.3,0.08,0.00
04/12/14 13:12,04/13/14 01:56,148-14-16,ESW2-20a,8061,100%,15,,0,0,0,0,53,04/12/14 13:12,04/13/14 01:56,,,,0.82,8061,0.082,2088,HT,1050.8,38.8,32.3,,16.25470174,0.6,7.3,,3.673663242,0.1,0.24,,0.12,0.00,10.10,HT,5.082739554,0.2,0.41,,0.204316065,0.0,3.84,HT,1.932447514,0.1,17.4,8.76,0.32,9.9,4.96,0.18
04/13/14 01:56,04/13/14 17:15,148-14-17,ESW2-20b,21254,100%,9,,0,0,0,0,54,04/13/14 01:56,04/13/14 17:15,,,,1.85,21254,0.216,1609,HT,2134.9,78.8,29.5,,39.1428066,1.4,9.4,,12.47262312,0.5,0.10,,0.13,0.00,7.50,HT,9.951561,0.4,0.36,,0.479001803,0.0,2.87,HT,3.808130676,0.1,16.9,22.42,0.83,7.4,9.82,0.36
04/13/14 17:15,04/14/14 07:46,148-14-18,ESW2-20c,74183,100%,10,,0,0,0,0,55,04/13/14 17:15,04/14/14 07:46,,,,4.58,74183,0.754,3064,HT,14189.7,523.6,14.8,,68.54052686,2.5,6.2,,28.71292342,1.1,0.03,,0.14,0.01,11.70,HT,54.18406516,2.0,0.35,,1.630153071,0.1,4.77,HT,22.09042656,0.8,17.9,82.90,3.06,11.7,54.05,1.99
04/14/14 07:46,04/15/14 02:15,148-14-20,ESW2-20d,16701,100%,5,,0,0,0,0,56,04/14/14 07:46,04/15/14 02:15,,,,0.91,16701,0.170,276,HT,287.8,10.6,18.2,,18.97571203,0.7,6.9,,7.194088626,0.3,0.07,,0.07,0.00,2.44,HT,2.543996558,0.1,0.35,,0.362832296,0.0,0.95,HT,0.989447841,0.0,9.3,9.74,0.36,2.4,2.47,0.09
04/29/14 02:52,04/29/14 15:59,157-14-1,ESW2-21a,2298,100%,7,,0,0,0,0,57,04/29/14 02:45,04/29/14 15:59,,,,0.18,2298,0.023,354,HT,50.8,1.9,40.1,,5.753350708,0.2,3.0,,0.43042524,0.0,0.13,,0.02,0.00,3.28,HT,0.470598262,0.0,0.32,,0.04519465,0.0,0.98,HT,0.140749053,0.0,6.3,0.90,0.03,3.2,0.45,0.02
04/29/14 15:59,04/30/14 13:49,157-14-2,ESW2-21b,8735,100%,16,,0,0,0,0,58,04/29/14 15:59,04/30/14 13:49,,,,0.52,8735,0.089,142,HT,77.4,2.9,44.7,,24.37549915,0.9,7.4,,4.035317532,0.1,0.07,,0.04,0.00,2.37,HT,1.292392237,0.0,0.34,,0.185406481,0.0,0.60,HT,0.326642595,0.0,9.8,5.33,0.20,2.3,1.25,0.05
04/30/14 13:49,05/01/14 17:45,157-14-3,ESW2-21c,4113,100%,4,,0,0,0,0,59,04/30/14 13:49,05/01/14 17:45,,,,0.14,4113,0.042,35,HT,9.0,0.3,54.5,,13.99259596,0.5,8.2,,2.105308016,0.1,0.05,,0.01,0.00,2.23,HT,0.572541082,0.0,0.36,,0.093198391,0.0,0.46,HT,0.11835939,0.0,10.4,2.68,0.10,2.2,0.56,0.02
,,,,,,,,0,1,0,0,60,05/01/14 17:45,05/02/14 17:00,,,,0.03,743,0.008,35,,1.6,0.1,54.5,,2.52807406,0.1,8.2,,0.380370776,0.0,0.05,,0.00,0.00,2.23,,0.103442296,0.0,0.36,,0.016838365,0.0,0.46,,0.021384259,0.0,10.4,0.48,0.02,2.2,0.10,0.00
,,,,,,,,0,1,0,0,61,05/07/14 13:50,05/07/14 18:00,,,,0.05,233,0.002,35,,0.5,0.0,54.5,,0.79369767,0.0,8.2,,0.119418732,0.0,0.05,,0.00,0.00,2.23,,0.03247607,0.0,0.36,,0.005286463,0.0,0.46,,0.006713663,0.0,10.4,0.15,0.01,2.2,0.03,0.00
05/12/14 04:55,05/14/14 01:00,,,,,,"event produced from discretes, estimated Q",0,1,0,0,65,05/12/14 04:55,05/14/14 01:00,,,,5.92,35251,0.358,3064,,6742.9,248.8,14.8,,32.56992192,1.2,6.2,,13.64415648,0.5,0.03,,0.07,0.00,11.70,,25.74784368,1.0,0.35,,0.774635981,0.0,4.77,,10.49719781,0.4,17.9,39.39,1.45,11.7,25.68,0.95
,,,,,,,,0,1,0,0,66,05/19/14 17:46,05/20/14 16:45,,,,0.18,829,0.008,35,,1.8,0.1,54.5,,2.82203616,0.1,8.2,,0.424599936,0.0,0.05,,0.00,0.00,2.23,,0.11547047,0.0,0.36,,0.018796314,0.0,0.46,,0.023870801,0.0,10.4,0.54,0.02,2.2,0.11,0.00
06/01/14 16:18,06/01/14 18:00,,ESW2-22a,,,,,0,1,0,0,67,06/01/14 16:17,06/01/14 18:00,,,,0.13,173,0.002,35,,0.4,0.0,54.5,,0.5879242,0.0,8.2,,0.08845832,0.0,0.05,,0.00,0.00,2.23,,0.024056348,0.0,0.36,,0.003915899,0.0,0.46,,0.004973084,0.0,10.4,0.11,0.00,2.2,0.02,0.00
06/01/14 18:00,06/01/14 20:46,255-14-12,ESW2-22b,20537,100%,,,0,0,0,0,68,06/01/14 18:00,06/01/14 20:46,,,,14.16,20537,0.209,14986,HT,19213.6,709.0,6.0,,7.69263756,0.3,4.2,,5.384846292,0.2,1.94,,2.49,0.09,57.00,,73.08005682,2.7,0.63,,0.803880625,0.0,20.60,,26.41138896,1.0,61.2,78.46,2.90,55.1,70.59,2.60
